epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,244.391,0.61955,0.60096,0.88121,0.98849,0.99275,0.98567,0.80003,0.68901,0.54792,0.86577,0.000557,0.000557,0.000557
114,246.387,0.67819,0.63144,0.88122,0.98822,0.99187,0.9869,0.79888,0.70152,0.5483,0.86583,0.000550813,0.000550813,0.000550813
115,249.13,0.60073,0.60491,0.88319,0.98822,0.99187,0.9869,0.79888,0.70152,0.5483,0.86583,0.000544625,0.000544625,0.000544625
116,251.113,0.63372,0.60596,0.88323,0.98876,0.99298,0.98741,0.80468,0.68907,0.5381,0.86139,0.000538438,0.000538438,0.000538438
117,253.076,0.62218,0.63206,0.89195,0.98876,0.99298,0.98741,0.80468,0.68907,0.5381,0.86139,0.00053225,0.00053225,0.00053225
118,254.895,0.60806,0.574,0.87476,0.98854,0.99264,0.9883,0.82378,0.66128,0.52722,0.85649,0.000526063,0.000526063,0.000526063
119,256.723,0.61769,0.57771,0.87972,0.98854,0.99264,0.9883,0.82378,0.66128,0.52722,0.85649,0.000519875,0.000519875,0.000519875
120,258.559,0.6236,0.59948,0.8776,0.98743,0.99098,0.9878,0.82329,0.6553,0.5255,0.86111,0.000513688,0.000513688,0.000513688
121,260.634,0.62204,0.57679,0.87824,0.98743,0.99098,0.9878,0.82329,0.6553,0.5255,0.86111,0.0005075,0.0005075,0.0005075
122,263.008,0.6275,0.57725,0.87653,0.98951,0.98235,0.9869,0.81143,0.69108,0.54123,0.87084,0.000501313,0.000501313,0.000501313
123,264.944,0.63382,0.61321,0.88683,0.98951,0.98235,0.9869,0.81143,0.69108,0.54123,0.87084,0.000495125,0.000495125,0.000495125
124,266.763,0.64714,0.59971,0.88647,0.97998,0.97882,0.98561,0.80217,0.70681,0.55021,0.87181,0.000488938,0.000488938,0.000488938
125,268.766,0.60266,0.58386,0.86984,0.97998,0.97882,0.98561,0.80217,0.70681,0.55021,0.87181,0.00048275,0.00048275,0.00048275
126,270.778,0.64442,0.60901,0.88544,0.96551,0.99117,0.98498,0.81834,0.66807,0.54192,0.86042,0.000476562,0.000476562,0.000476562
127,272.595,0.6116,0.61773,0.88072,0.96551,0.99117,0.98498,0.81834,0.66807,0.54192,0.86042,0.000470375,0.000470375,0.000470375
128,274.97,0.56102,0.57473,0.88188,0.97986,0.97882,0.98427,0.82609,0.64263,0.52504,0.85542,0.000464188,0.000464188,0.000464188
